Datetime_utc_end	WD_BJE	WS_BJE	RH_BJE	P_BJE	PREC_BJE	T_BJE
01/08/2022 00:00:00	102	2.7	68	944.1	0	15.1
01/08/2022 01:00:00	111	3.3	70	944.2	0	14.4
01/08/2022 02:00:00	112	2.5	72	944.2	0	13.6
01/08/2022 03:00:00	111	2.2	76	943.9	0	12.7
01/08/2022 04:00:00	107	2.4	77	944.1	0	12.2
01/08/2022 05:00:00	111	1.8	79	944.2	0	11.8
01/08/2022 06:00:00	117	2.9	77	944.4	0	12.5
01/08/2022 07:00:00	120	1.5	69	944.4	0	14.7
01/08/2022 08:00:00	156	0.9	55	944.1	0	19
01/08/2022 09:00:00	288	1.3	49	943.9	0	21.3
01/08/2022 10:00:00	307	1.5	46	943.7	0	22.9
01/08/2022 11:00:00	221	1.5	40	943.3	0	26.4
01/08/2022 12:00:00	268	1.7	32	942.8	0	27.6
01/08/2022 13:00:00	312	2.2	29	942.2	0	28.3
01/08/2022 14:00:00	322	3	29	942.1	0	28.1
01/08/2022 15:00:00	1	2.8	30	942.1	0	28.2
01/08/2022 16:00:00	343	2.7	32	942.3	0	27.6
01/08/2022 17:00:00	6	2.1	32	942.3	0	27.7
01/08/2022 18:00:00	343	2.2	33	942.1	0	27.5
01/08/2022 19:00:00	15	1.2	39	942.5	0	25.3
01/08/2022 20:00:00	60	1.4	50	943.2	0	22.2
01/08/2022 21:00:00	112	1.5	57	943.8	0	20.3
01/08/2022 22:00:00	117	1.5	62	943.8	0	18.9
01/08/2022 23:00:00	108	1.7	67	944	0	17.8
02/08/2022 00:00:00	107	1.8	70	943.9	0	17
02/08/2022 01:00:00	109	2	73	943.9	0	16.2
02/08/2022 02:00:00	116	2.2	74	944	0	15.9
02/08/2022 03:00:00	117	2	78	944.1	0	14.9
02/08/2022 04:00:00	114	3.1	79	944.2	0	14.5
02/08/2022 05:00:00	111	2.5	79	944.5	0	14.5
02/08/2022 06:00:00	123	1.9	79	945	0	14.7
02/08/2022 07:00:00	131	1.4	72	945.1	0	16.7
02/08/2022 08:00:00	250	0.8	62	945	0	20
02/08/2022 09:00:00	274	1.1	54	944.9	0	22.1
02/08/2022 10:00:00	262	0.7	53	944.7	0	23.6
02/08/2022 11:00:00	303	1.1	45	944.1	0	25.7
02/08/2022 12:00:00	298	1.8	34	943.6	0	28.3
02/08/2022 13:00:00	10	2.4	28	943.2	0	28.9
02/08/2022 14:00:00	33	2.3	27	942.9	0	30.7
02/08/2022 15:00:00	29	2.1	27	942.8	0	29.7
